Scenario,Replication,seed,order_size_mean,limit_price_decay_rate,mm_base_spread,sim_duration,avg_spread,median_exec_time,mean_exec_time,p99_exec_time,resting_exec_count,market_exec_count,total_executions,trade_count,trades_per_hour,execs_per_hour,mm_final_pnl,mm_final_pnl_per_hour,mm_final_pnl_per_1k_trades,mm_final_inventory,avg_mm_inventory,rest_exec_skew,rest_exec_kurtosis,price_volatility,depth_within_5_ticks,mm_depth_within_5_ticks,mm_depth_fraction,mm_realized_spread,runtime_sec,bid_level_1,bid_level_2,bid_level_3,bid_level_4,bid_level_5,ask_level_1,ask_level_2,ask_level_3,ask_level_4,ask_level_5,Replications,sim_duration_Mean,sim_duration_CI_95,avg_spread_Mean,avg_spread_CI_95,median_exec_time_Mean,median_exec_time_CI_95,mean_exec_time_Mean,mean_exec_time_CI_95,p99_exec_time_Mean,p99_exec_time_CI_95,resting_exec_count_Mean,resting_exec_count_CI_95,market_exec_count_Mean,market_exec_count_CI_95,total_executions_Mean,total_executions_CI_95,trade_count_Mean,trade_count_CI_95,trades_per_hour_Mean,trades_per_hour_CI_95,execs_per_hour_Mean,execs_per_hour_CI_95,mm_final_pnl_Mean,mm_final_pnl_CI_95,mm_final_pnl_per_hour_Mean,mm_final_pnl_per_hour_CI_95,mm_final_pnl_per_1k_trades_Mean,mm_final_pnl_per_1k_trades_CI_95,mm_final_inventory_Mean,mm_final_inventory_CI_95,avg_mm_inventory_Mean,avg_mm_inventory_CI_95,rest_exec_skew_Mean,rest_exec_skew_CI_95,rest_exec_kurtosis_Mean,rest_exec_kurtosis_CI_95,price_volatility_Mean,price_volatility_CI_95,depth_within_5_ticks_Mean,depth_within_5_ticks_CI_95,mm_depth_within_5_ticks_Mean,mm_depth_within_5_ticks_CI_95,mm_depth_fraction_Mean,mm_depth_fraction_CI_95,mm_realized_spread_Mean,mm_realized_spread_CI_95,runtime_sec_Mean,runtime_sec_CI_95,bid_level_1_Mean,bid_level_1_CI_95,bid_level_2_Mean,bid_level_2_CI_95,bid_level_3_Mean,bid_level_3_CI_95,bid_level_4_Mean,bid_level_4_CI_95,bid_level_5_Mean,bid_level_5_CI_95,ask_level_1_Mean,ask_level_1_CI_95,ask_level_2_Mean,ask_level_2_CI_95,ask_level_3_Mean,ask_level_3_CI_95,ask_level_4_Mean,ask_level_4_CI_95,ask_level_5_Mean,ask_level_5_CI_95
S1,1.0,1000001.0,1.0,0.05,0.1,23400.0,2.9791333621184197,8.09230453750206,588.9360859367358,9822.292214393798,9755.0,1.0,9756.0,9524.0,1465.2307692307693,1500.923076923077,425.5434374999795,65.468221153843,44.681167314151566,9.0,-0.3062793677915421,0.0,0.0,2.5134646776414388e-05,0.0,0.0,0.0,0.137703149781925,0.3931601047515869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,23400.0,0.0,2.98082289345786,0.04404642832897655,7.935406521078494,0.18440347560666212,625.6187019965093,85.66909108523254,11679.536998513364,1654.8963204622564,9759.0,56.31035997043516,6.2,2.9982234739925575,9765.2,55.06658282479499,9514.2,44.420709404511015,1463.7230769230769,6.8339552930017256,1502.3384615384616,8.471781973045323,378.74687499998015,70.91334615609699,58.26874999999694,10.909745562476461,39.778184613329685,7.3394457144335465,4.0,8.809104381263738,1.686458778299872,3.7886666994154896,0.0,0.0,0.0,0.0,2.5520167819179644e-05,4.282164893993583e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.14257599793520198,0.013735301869976003,0.4161857604980469,0.052088980557539556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,1.0,1000001.0,1.0,0.05,0.25,23400.0,3.025128927820142,8.31035567374056,571.8996696198167,8988.910118096852,9675.0,1.0,9676.0,9484.0,1459.076923076923,1488.6153846153848,1030.9437500000022,158.60673076923112,108.7034742724591,5.0,-4.347714651858181,0.0,0.0,2.323293024658593e-05,0.0,0.0,0.0,-0.0123302295580841,0.3843719959259033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,23400.0,0.0,3.043343420634936,0.037125974452651575,8.18826302562104,0.2694345080692278,640.6756243516813,118.15410426766938,12191.874115054641,2430.9877886223085,9694.6,46.388691035639134,6.2,2.9982234739925575,9700.8,47.70255070748332,9482.0,46.888673259114505,1458.769230769231,7.213642039863725,1492.4307692307696,7.338853954997352,889.3241875000009,114.93647108878268,136.81910576923093,17.682534013658884,93.78278209642464,12.086987348870972,4.2,7.2916214931934045,3.2152926099957284,5.19380711579455,0.0,0.0,0.0,0.0,2.431288112846369e-05,4.100337559090295e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.015991055433442862,0.01429676754991103,0.389949893951416,0.06410659322371925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3,1.0,1000001.0,1.0,0.05,0.5,23400.0,3.149033881744077,8.629933558117045,537.0919580332691,8617.702569210049,9547.0,1.0,9548.0,9420.0,1449.2307692307693,1468.923076923077,1973.4231250000007,303.60355769230785,209.49290074309988,7.0,-2.8269970098248614,0.0,0.0,2.0984000827211263e-05,0.0,0.0,0.0,-0.2880971854304636,0.4825892448425293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,23400.0,0.0,3.1179613865605886,0.022678785405627504,8.486265614024614,0.21332875288771763,616.5401268331282,90.21953862144665,11971.417659394454,2271.467367430789,9541.4,70.97148903609101,6.2,2.9982234739925575,9547.6,69.96568598963351,9405.4,69.5747547318708,1446.9846153846154,10.70380842028784,1468.8615384615384,10.763951690712844,1799.30434375,108.54005355626576,276.81605288461543,16.698469777887023,191.27499388826627,11.003312462622393,5.4,4.537728065893768,2.920034173430158,3.021351042751872,0.0,0.0,0.0,0.0,2.068568099156349e-05,2.0385033852604045e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.27002394604743085,0.010398899209829471,0.48330345153808596,0.07932246143173832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4,1.0,1000001.0,1.0,0.05,1.0,23400.0,3.4467162941786387,9.428517637548794,580.6413633726364,9755.030592547742,9475.0,1.0,9476.0,9384.0,1443.6923076923078,1457.846153846154,3762.214062500001,578.8021634615386,400.9179520993181,10.0,-2.746689448953439,0.0,0.0,1.838251531492536e-05,0.0,0.0,0.0,-0.7986820038522848,0.4018900394439697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,23400.0,0.0,3.4040018214616268,0.02278841835906847,9.304545884652816,0.13954815759734868,622.0668588322366,82.09166045349929,12023.418747769632,1834.2172288230527,9440.2,75.41900704729565,6.2,2.9982234739925575,9446.4,74.05740108861495,9354.8,72.17858009132618,1439.2000000000003,11.104396937127188,1453.2923076923078,11.393446321325376,3501.5638437499993,132.79173960371742,538.7021298076922,20.429498400571873,374.29106311154254,13.468875123693195,0.8,6.116958721456276,1.4480991029474581,2.2877185074192234,0.0,0.0,0.0,0.0,1.7412744251614353e-05,1.6875345585758055e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.7723325831813546,0.013646259857143796,0.43767433166503905,0.035430255605292976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5,1.0,1000001.0,1.0,0.05,2.0,23400.0,4.013065685085919,13.78570076152755,652.6776510316555,9586.607424998258,9379.0,1.0,9380.0,9336.0,1436.3076923076924,1443.076923076923,6621.8687622070265,1018.7490403395426,709.2832864403414,-4.0,-2.7983767620674924,0.0,0.0,1.844528316036752e-05,0.0,0.0,0.0,-1.6471163718727964,0.3938672542572021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,23400.0,0.0,3.997318700826978,0.033282599753535584,12.606680335935561,0.6722738550342524,608.6041320623821,143.06374767167867,11039.694297427404,2789.0675729230315,9344.8,67.87771758095573,6.4,3.256196554263885,9351.2,66.21609882800419,9307.2,68.45817339076488,1431.8769230769233,10.53202667550229,1438.646153846154,10.187092127385194,6413.846807617189,106.32559690336815,986.7456627103369,16.35778413897963,689.170324423234,12.671423948512437,0.0,4.512258857822764,0.4697992310978215,1.9434116300660955,0.0,0.0,0.0,0.0,1.79477163823441e-05,1.7270602374372164e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.63612806148202,0.008029536644762837,0.4404436111450195,0.03553534705758096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S6,1.0,1000001.0,1.0,0.1,0.1,23400.0,1.523150794528239,8.298259389361192,641.8322678500026,11178.474835250723,9761.0,1.0,9762.0,9527.0,1465.6923076923078,1501.846153846154,388.8337499999813,59.82057692307404,40.81387110317847,10.0,1.2199914566424606,0.0,0.0,6.851925722190406e-06,0.0,0.0,0.0,0.0099823734844552,0.5263619422912598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,23400.0,0.0,1.5349429997216426,0.011174600608976216,8.038517260015988,0.19168445057205205,613.9741817289791,66.53808707813658,12185.117450036634,1351.1704622780653,9758.6,64.81527671776152,6.2,2.9982234739925575,9764.8,64.20727859051492,9514.0,63.861119313710745,1463.6923076923078,9.82478758672472,1502.2769230769231,9.878042860079308,362.82368749998017,40.19498118228836,55.8190288461508,6.183843258813589,38.13058897152598,4.194291913206253,4.2,3.5279999999999996,2.112516018795387,1.379338013613712,0.0,0.0,0.0,0.0,6.7692883981239635e-06,4.699355841810657e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.015361934264562341,0.004855279380964201,0.5343203544616699,0.07518030775806851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S7,1.0,1000001.0,1.0,0.1,0.25,23400.0,1.5766084191905911,8.785870824380254,578.3731250693236,10073.996064889445,9575.0,1.0,9576.0,9434.0,1451.3846153846157,1473.2307692307693,926.2315625,142.4971634615385,98.1801529043884,5.0,-0.4839812046134131,0.0,0.0,5.734120017589351e-06,0.0,0.0,0.0,-0.1451967561818665,0.877204179763794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,23400.0,0.0,1.569698647733516,0.010897483048783869,8.630070144611546,0.2153751299626695,662.5849843413849,69.6963184713379,12409.799643396842,1550.39048895976,9586.6,46.98116320399077,6.2,2.9982234739925575,9592.8,46.58619434982843,9428.0,57.441711673661075,1450.4615384615386,8.837186411332468,1475.8153846153848,7.167106823050564,878.5929687500002,50.091806978437724,135.1681490384616,7.706431842836585,93.17053268019097,4.983054377126179,3.0,3.6668242390384624,1.4968816744980775,1.3885166454501299,0.0,0.0,0.0,0.0,5.680092903297357e-06,4.5873804891231404e-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.1369485280903438,0.005564477880519535,0.6104450225830078,0.13405630816867742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S8,1.0,1000001.0,1.0,0.1,0.5,23400.0,1.6849306200117875,10.149764085101197,625.5825773230166,9447.355772276049,9463.0,1.0,9464.0,9378.0,1442.769230769231,1456.0,1732.689116210939,266.56755634014445,184.7610488601982,6.0,-1.304997864160615,0.0,0.0,4.792046927004362e-06,0.0,0.0,0.0,-0.3878886209685226,1.070626735687256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,23400.0,0.0,1.6852513791240902,0.01415581449945263,9.70298270684654,0.41761655539615133,667.4847497742494,124.49139949718968,12338.624270349474,2394.257444082047,9446.6,68.72197156659591,6.2,2.9982234739925575,9452.8,67.60551149129766,9358.0,68.51875188588895,1439.6923076923078,10.541346443982803,1454.2769230769231,10.400847921738073,1690.8860966796879,59.78422946629626,260.13632256610583,9.197573764045574,180.66272662734127,5.5298613213922385,0.0,4.800999895855028,0.9917129431866725,1.95443169088631,0.0,0.0,0.0,0.0,4.696281991788525e-06,2.4178426180331565e-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.37993483412066975,0.007470785288361222,0.5983676433563232,0.23296773037241938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S9,1.0,1000001.0,1.0,0.1,1.0,23400.0,2.012322096168657,13.755649924507452,677.1453848928642,9915.681041273476,9393.0,1.0,9394.0,9343.0,1437.3846153846157,1445.2307692307693,3242.885841674804,498.905514103816,347.09256573635923,-1.0,-0.3289192652712516,0.0,0.0,5.05355841815961e-06,0.0,0.0,0.0,-0.8209490663400792,0.6518981456756592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,23400.0,0.0,1.9918076319673717,0.021375800628860693,12.75166135774745,0.510908503320267,614.1471748210082,121.41784917474462,11218.103442701215,2780.9145563258276,9345.6,71.31976511458801,6.4,3.256196554263885,9352.0,69.398947542452,9307.6,69.86128495812262,1431.9384615384618,10.747889993557417,1438.769230769231,10.676761160377263,3127.91203552246,68.67580813691565,481.2172362342246,10.565508944140873,336.0899754088143,8.177800627678469,-0.2,1.4402999687565088,0.4992738146091414,0.49030860666030623,0.0,0.0,0.0,0.0,4.827085698257943e-06,3.43971279315964e-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.8122257878690912,0.005153721725583155,0.48794212341308596,0.08381126193839712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S10,1.0,1000001.0,1.0,0.1,2.0,23400.0,2.4907030722418604,21.44854120164746,770.0217143032136,10146.852718997452,9307.0,1.0,9308.0,9300.0,1430.769230769231,1432.0,4817.494052734377,741.1529311899042,518.0101131972449,-2.0,-1.1243058521999143,0.0,0.0,8.644567009705383e-06,0.0,0.0,0.0,-1.3265330421531591,0.5766739845275879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,23400.0,0.0,2.467972118858005,0.01466473852085647,21.079962575873502,1.0554842219891838,772.6313820711116,171.3972540608179,12221.594061776592,2449.523465351775,9273.8,74.04910089933549,5.8,3.36069992709852,9279.6,71.67438884287763,9271.4,71.22274310920626,1426.3692307692309,10.957345093724024,1427.6307692307694,11.026829052750406,4699.292476562503,75.74425510193313,722.9680733173082,11.652962323374329,506.85015675109946,6.557612601399896,-1.8,2.352,-0.013156770610849999,0.8571375790081683,0.0,0.0,0.0,0.0,8.49778608414743e-06,4.1710887572779803e-07,0.0,0.0,0.0,0.0,0.0,0.0,-1.322723406590297,0.008555579209974845,0.4847550868988037,0.0604218338760314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
