Scenario,order_size_mean,limit_price_decay_rate,mm_base_spread,n_rep,avg_spread_mean,avg_spread_CI95_lower,avg_spread_CI95_upper,mean_exec_time_mean,mean_exec_time_CI95_lower,mean_exec_time_CI95_upper,mm_final_pnl_per_1k_trades_mean,mm_final_pnl_per_1k_trades_CI95_lower,mm_final_pnl_per_1k_trades_CI95_upper
S1,1.0,0.05,0.1,5,2.98082289345786,2.9367764651288835,3.0248693217868365,625.6187019965093,539.9496109112767,711.2877930817419,39.778184613329685,32.43873889889614,47.11763032776323
S10,1.0,0.1,2.0,5,2.467972118858005,2.453307380337149,2.482636857378861,772.6313820711116,601.2341280102937,944.0286361319296,506.85015675109946,500.2925441496996,513.4077693524994
S100,20.0,0.5,2.0,5,0.6907397371381971,0.6816612426819425,0.6998182315944518,801.6541322972869,642.531359271596,960.7769053229778,2.646390890607941,2.093081990251408,3.199699790964474
S101,30.0,0.05,0.1,5,3.8233755864066254,3.708064247461337,3.9386869253519134,792.0189255431427,724.7388350678414,859.299016018444,1.6444515759282996,0.8084852214481604,2.480417930408439
S102,30.0,0.05,0.25,5,3.8684429830829705,3.804795272869702,3.932090693296239,786.9285858562249,684.6844967892007,889.1726749232491,3.742071616112239,2.941295962285761,4.542847269938717
S103,30.0,0.05,0.5,5,3.985196556512706,3.93249775436938,4.037895358656033,790.3365430047862,687.9742978120094,892.6987881975631,6.845942538629757,5.806117306517463,7.885767770742051
S104,30.0,0.05,1.0,5,4.208908716360079,4.187165979631142,4.230651453089016,729.6902191968329,574.7066331871969,884.673805206469,13.347601214813494,12.628910610043418,14.06629181958357
S105,30.0,0.05,2.0,5,4.733962163982156,4.683094191610139,4.784830136354173,788.6533789398338,658.286228261073,919.0205296185948,25.634069712176377,24.968980078456084,26.29915934589667
S106,30.0,0.1,0.1,5,1.954185132775797,1.910597980327083,1.9977722852245112,814.0714052863207,709.8578504260598,918.2849601465816,1.3671518250651995,0.9399376962985632,1.7943659538318355
S107,30.0,0.1,0.25,5,2.0054732181351422,1.9777626754541848,2.0331837608161,783.6945155252372,675.4730111135715,891.9160199369029,3.3616285068056526,3.0339123304618125,3.6893446831494927
S108,30.0,0.1,0.5,5,2.1045555313756696,2.0887236421181385,2.1203874206332007,754.127171206333,589.6296794481522,918.6246629645136,6.466733228580547,5.9929129980586735,6.9405534591024205
S109,30.0,0.1,1.0,5,2.355570331754662,2.3325607683057026,2.3785798952036217,810.8616924041147,708.4667932350264,913.256591573203,12.48941905894226,12.26064297812249,12.718195139762033
S11,1.0,0.2,0.1,5,0.7981140236614047,0.789579287615252,0.8066487597075575,640.5764771965869,557.8550180132614,723.2979363799124,34.63321257947284,32.7049685568805,36.56145660206518
S110,30.0,0.1,2.0,5,2.7583903398044187,2.7315786356151395,2.785202043993698,793.233834569429,632.0419143450869,954.425754793771,21.58325227198016,21.115952590737457,22.050551953222858
S111,30.0,0.2,0.1,5,1.0009635390061309,0.9887187887084928,1.013208289303769,787.4506117081722,658.6108739163253,916.2903495000191,1.2563293488465803,1.1371440067827416,1.375514690910419
S112,30.0,0.2,0.25,5,1.0583513967447455,1.0505977840341485,1.0661050094553428,794.9772940844309,649.1183662418712,940.8362219269908,3.0963083841282497,2.899731549074859,3.2928852191816405
S113,30.0,0.2,0.5,5,1.168877518368515,1.1547193528514137,1.1830356838856162,822.2436719833556,713.5123164160392,930.975027550672,6.056846149457742,5.852028096010227,6.261664202905258
S114,30.0,0.2,1.0,5,1.3689680519130083,1.3560213547794204,1.3819147490465962,809.7088355937515,642.9663803107524,976.4512908767506,10.390278287128762,10.233156750420587,10.547399823836937
S115,30.0,0.2,2.0,5,1.5798666916493298,1.5675758536487965,1.5921575296498631,790.6961492838275,643.8007689853312,937.5915295823238,12.735554964710124,12.321439145497711,13.149670783922536
S116,30.0,0.3,0.1,5,0.6873632748249954,0.6800316324640194,0.6946949171859713,800.7456932004318,645.3078353806939,956.1835510201696,1.1869302710188383,1.0831660934239324,1.2906944486137442
S117,30.0,0.3,0.25,5,0.741168451844296,0.7334423724955607,0.7488945311930314,849.8386433686779,751.096764181829,948.5805225555268,2.9214554665522545,2.767285443976426,3.075625489128083
S118,30.0,0.3,0.5,5,0.8494699148210726,0.8388661801497331,0.860073649492412,805.4077483463806,659.6440587581794,951.1714379345816,5.480753545762687,5.318137045333061,5.643370046192312
S119,30.0,0.3,1.0,5,0.9952092568678652,0.9864962663840944,1.0039222473516358,773.1991271262847,641.3983755057424,904.999878746827,7.979743621737367,7.839313795936375,8.12017344753836
S12,1.0,0.2,0.25,5,0.8489854604194637,0.842245875868985,0.8557250449699423,642.6501883625049,569.939436700187,715.3609400248228,86.91369759519038,85.31315635706672,88.51423883331405
S120,30.0,0.3,2.0,5,1.109680147434607,1.1005915708590412,1.118768724010173,783.5982731614049,638.9135137389892,928.2830325838206,6.969856957276788,6.698697679709234,7.241016234844341
S121,30.0,0.5,0.1,5,0.4296102853504725,0.4253099707925125,0.4339105999084325,816.5631800908429,670.85276347907,962.273596702616,1.1272062260610425,1.049085260764953,1.205327191357132
S122,30.0,0.5,0.25,5,0.4865415995143222,0.4810946661624509,0.4919885328661935,765.3146109878936,626.8545876175101,903.7746343582772,2.6692179199360946,2.592289392728946,2.7461464471432437
S123,30.0,0.5,0.5,5,0.5679471907594286,0.5638613648644059,0.5720330166544513,817.0245979632585,684.1428599317211,949.906335994796,4.1740738784232665,4.048248923024536,4.299898833821997
S124,30.0,0.5,1.0,5,0.6471938493228017,0.6412484510487594,0.6531392475968439,797.4219378598709,648.1818027063682,946.6620730133736,4.387221838083569,4.253507073272876,4.520936602894262
S125,30.0,0.5,2.0,5,0.6908552880231,0.6817681411055867,0.6999424349406134,802.4988197756045,642.3961642764561,962.6014752747528,1.7411352386963508,1.3753004865121192,2.1069699908805823
S13,1.0,0.2,0.5,5,0.9981943818939591,0.9893087964734428,1.0070799673144757,624.6239579183697,502.14280104617103,747.1051147905683,162.35565307135138,159.45770655155962,165.25359959114314
S14,1.0,0.2,1.0,5,1.2297115523296382,1.2231147559387163,1.23630834872056,705.3005874987181,544.0899378010504,866.5112371963858,243.3126417278576,241.6813777696542,244.943905686061
S15,1.0,0.2,2.0,5,1.4952498378231955,1.4886877074545686,1.5018119681918225,800.7670419738131,644.956646996221,956.5774369514052,255.7119335022458,252.36164940114705,259.0622176033445
S16,1.0,0.3,0.1,5,0.5544961190761979,0.5483873988813279,0.5606048392710679,580.342557940395,444.5938614669011,716.0912544138888,32.992116443644846,31.78460961704209,34.1996232702476
S17,1.0,0.3,0.25,5,0.6156816956723734,0.6106241894144598,0.620739201930287,645.7228533490751,567.0305445612938,724.4151621368563,81.8947575149352,79.81802589994125,83.97148912992914
S18,1.0,0.3,0.5,5,0.7447094437829047,0.7400250755693241,0.7493938119964854,698.1915682442564,526.687275305841,869.6958611826717,136.06382196942576,133.741192692581,138.38645124627052
S19,1.0,0.3,1.0,5,0.9123275954637527,0.9068419474134002,0.9178132435141052,800.0864532030901,625.9576119034571,974.215294502723,165.704845627436,164.41958452670934,166.99010672816263
S2,1.0,0.05,0.25,5,3.043343420634936,3.0062174461822844,3.0804693950875874,640.6756243516813,522.521520084012,758.8297286193507,93.78278209642464,81.69579474755366,105.86976944529562
S20,1.0,0.3,2.0,5,1.0794416425578095,1.0664991138254207,1.0923841712901985,865.4256444206558,681.1141838053437,1049.737105035968,140.98757463992857,136.2067360375147,145.76841324234243
S21,1.0,0.5,0.1,5,0.3514395693811417,0.3472753515736432,0.3556037871886401,617.8345701782812,530.0454418255433,705.623698531019,31.151803651990708,30.183415806904712,32.1201914970767
S22,1.0,0.5,0.25,5,0.4193293894855318,0.4153674553618244,0.4232913236092391,682.7539317729512,530.3671565441336,835.1407070017688,66.6775860736386,64.99911488029117,68.35605726698601
S23,1.0,0.5,0.5,5,0.513318924464163,0.5117338583188382,0.5149039906094879,761.1718007409165,626.4030792886718,895.9405221931612,89.12632928212233,88.48831825562658,89.76434030861807
S24,1.0,0.5,1.0,5,0.6200636963396386,0.6145766045395257,0.6255507881397516,852.2579008072447,639.5571796100654,1064.958622004424,87.73926765078261,86.18322958918421,89.29530571238101
S25,1.0,0.5,2.0,5,0.685154124164304,0.6757917414863083,0.6945165068422997,844.776883704719,673.3662899245044,1016.1874774849337,37.779666649318365,32.193990331660125,43.365342966976606
S26,5.0,0.05,0.1,5,3.7508267877456687,3.658402129451371,3.8432514460399663,731.6147940721169,657.2000249599475,806.0295631842862,10.708698253712017,6.057515298197494,15.35988120922654
S27,5.0,0.05,0.25,5,3.819743227243842,3.753515789372226,3.8859706651154577,729.9432520174962,650.7330481667349,809.1534558682575,22.28213318018077,16.66936232791987,27.894904032441676
S28,5.0,0.05,0.5,5,3.929704286766077,3.865223117698144,3.99418545583401,728.6358864047139,660.3094136531414,796.9623591562864,40.42790700619382,34.37437852662929,46.48143548575835
S29,5.0,0.05,1.0,5,4.139894198325753,4.112005572563557,4.167782824087949,684.7751672273042,551.0383156939187,818.5120187606898,81.20017214056324,77.28747570128765,85.11286857983883
S3,1.0,0.05,0.5,5,3.1179613865605886,3.095282601154961,3.1406401719662163,616.5401268331282,526.3205882116815,706.7596654545748,191.27499388826627,180.27168142564383,202.27830635088867
S30,5.0,0.05,2.0,5,4.652027434931762,4.604292407172548,4.699762462690976,751.7352355233322,638.0962873241522,865.3741837225123,151.90202186978007,149.07158256566086,154.73246117389928
S31,5.0,0.1,0.1,5,1.939410507650018,1.8982416522130456,1.9805793630869903,760.0034924025651,661.613703842238,858.3932809628923,8.65852989937912,5.866903596207196,11.450156202551044
S32,5.0,0.1,0.25,5,1.9833024268983444,1.9509269012905484,2.0156779525061403,756.048692823001,649.347596982619,862.749788663383,19.26176689623502,16.567255121703187,21.956278670766853
S33,5.0,0.1,0.5,5,2.072773661232528,2.063512112164928,2.082035210300128,686.2601529916467,537.3794958551348,835.1408101281586,38.68950174535341,37.11097468695733,40.268028803749495
S34,5.0,0.1,1.0,5,2.323724259364696,2.3035702729048038,2.3438782458245884,729.7334282180619,591.3536283304721,868.1132281056517,74.77062741216513,72.68631808282792,76.85493674150233
S35,5.0,0.1,2.0,5,2.721260545823083,2.7019033569522475,2.740617734693919,768.7097308720091,655.8106485766918,881.6088131673264,126.87906810972152,124.67236918967144,129.0857670297716
S36,5.0,0.2,0.1,5,0.9898761514425536,0.9769444919597,1.002807810925407,711.1686916891201,565.351078727085,856.9863046511553,7.438913416841406,6.867272816356357,8.010554017326456
S37,5.0,0.2,0.25,5,1.0419054891973492,1.033005291392786,1.0508056870019125,740.165529036301,632.3328444963383,847.9982135762637,18.5613375984057,17.69760954702333,19.42506564978807
S38,5.0,0.2,0.5,5,1.1583406430703902,1.1456793281920186,1.1710019579487618,734.1345421552178,614.2310853049872,854.0379990054483,36.42482429263755,35.70965062640851,37.139997958866594
S39,5.0,0.2,1.0,5,1.351398640636568,1.3385692252509849,1.364228056022151,769.6815969645415,648.669192315253,890.6940016138301,60.777224504531695,59.00529728915925,62.54915171990414
S4,1.0,0.05,1.0,5,3.4040018214616268,3.3812134031025582,3.4267902398206957,622.0668588322366,539.9751983787373,704.1585192857358,374.29106311154254,360.82218798784936,387.7599382352357
S40,5.0,0.2,2.0,5,1.5671639546156375,1.5544871191988965,1.5798407900323788,761.5027073861067,593.8974697589351,929.1079450132784,73.80471979063684,71.91489104780963,75.69454853346404
S41,5.0,0.3,0.1,5,0.6757703734308074,0.6648777337797551,0.6866630130818596,788.0665592927977,696.8713950693254,879.26172351627,7.440568928827931,6.622031132848241,8.259106724807621
S42,5.0,0.3,0.25,5,0.7328015444730431,0.7266941730400354,0.7389089159060509,718.3482952273696,556.161216455647,880.5353739990921,17.984428892418343,17.325806742687647,18.64305104214904
S43,5.0,0.3,0.5,5,0.8387611976004775,0.8299184689270102,0.8476039262739449,757.4328041489262,611.9724972512766,902.8931110465757,32.42762348775922,31.656226841607808,33.19902013391063
S44,5.0,0.3,1.0,5,0.9844909305399416,0.9733334844370086,0.9956483766428746,787.035211466416,634.761650464331,939.3087724685008,46.35148371722899,44.96159011941998,47.741377315038
S45,5.0,0.3,2.0,5,1.10302364603006,1.0931839713791396,1.1128633206809804,786.7072125087494,638.9943807641826,934.4200442533164,40.02438392014734,38.459753448634665,41.58901439166002
S46,5.0,0.5,0.1,5,0.4246272689405426,0.4212359653726285,0.4280185725084567,742.8010460853391,592.6912222924896,892.9108698781886,6.938515686320346,6.5324131061775725,7.34461826646312
S47,5.0,0.5,0.25,5,0.4815217871293259,0.4756541852283749,0.4873893890302769,736.1166776348593,586.912910786579,885.3204444831397,16.059072037207862,15.625182272162338,16.492961802253387
S48,5.0,0.5,0.5,5,0.5628089103587148,0.5587875691916726,0.5668302515257571,778.4539254634446,663.0790019677664,893.8288489591229,24.50390062770487,23.864421596249503,25.143379659160235
S49,5.0,0.5,1.0,5,0.6446809755113078,0.6401335378629157,0.6492284131596998,788.0267095452416,650.608863384772,925.4445557057112,25.15954694117659,24.61473382872941,25.70436005362377
S5,1.0,0.05,2.0,5,3.997318700826978,3.9640361010734426,4.030601300580513,608.6041320623821,465.54038439070337,751.6678797340608,689.170324423234,676.4989004747215,701.8417483717465
S50,5.0,0.5,2.0,5,0.6895537784888598,0.680616830616937,0.6984907263607826,799.0118419623128,633.6162073037085,964.4074766209172,10.345357035956216,8.423901202559804,12.266812869352629
S51,10.0,0.05,0.1,5,3.795581548478319,3.707352347051204,3.883810749905434,758.0017618098107,672.3038465048626,843.6996771147587,5.174857316207368,2.673743116710456,7.67597151570428
S52,10.0,0.05,0.25,5,3.8583578288102887,3.8021172382133503,3.914598419407227,757.4384704169859,658.7212881620846,856.1556526718871,11.29518515095561,8.706090355560125,13.884279946351096
S53,10.0,0.05,0.5,5,3.981415240524032,3.924835696103784,4.0379947849442805,764.9540041795717,675.164438806928,854.7435695522154,20.332548691316617,17.05112054089665,23.613976841736584
S54,10.0,0.05,1.0,5,4.194117635010143,4.1607388131599095,4.227496456860376,700.6004323514237,591.5571550190637,809.6437096837838,39.89073092295472,37.93100954238323,41.85045230352621
S55,10.0,0.05,2.0,5,4.717395540029461,4.666261382431019,4.768529697627903,764.2660972446365,639.5517262164602,888.9804682728128,77.04954995003654,75.11397636386798,78.9851235362051
S56,10.0,0.1,0.1,5,1.948465986644489,1.9060916650524828,1.9908403082364956,795.0715702163382,703.7584064924534,886.3847339402229,3.930682098987325,2.494071887393359,5.367292310581291
