Scenario,CI_width
S1,0.12478825544431871
S10,0.04154677702575249
S100,0.025720348464932208
S101,0.32668939039638056
S102,0.1803207892639569
S103,0.14930135842920977
S104,0.06159950506598122
S105,0.14411442133022767
S106,0.1234870776181054
S107,0.07850693937644815
S108,0.0448534402399039
S109,0.06518856103122683
S11,0.024179822570914222
S110,0.07596043352891346
S111,0.03469069084514986
S112,0.021966816385650567
S113,0.04011160137605807
S114,0.036679381515334786
S115,0.034821262250367635
S116,0.02077132912876789
S117,0.021888811418536935
S118,0.03004151757658846
S119,0.024684836510510566
S12,0.01909396585330958
S120,0.025748912190250106
S121,0.012183252352304996
S122,0.015431746370552779
S123,0.011575582966251385
S124,0.01684395095552671
S125,0.025744861815656384
S13,0.02517381647715289
S14,0.018689431683225344
S15,0.01859121912412709
S16,0.01730665947354071
S17,0.014328457647236448
S18,0.013271317548510186
S19,0.015541429263509543
S2,0.10518186739261592
S20,0.03666757198767656
S21,0.011797675661843587
S22,0.01122458429069767
S23,0.004490662388369371
S24,0.01554551956142336
S25,0.026524634244193823
S26,0.2618489695110018
S27,0.1876294343963667
S28,0.18268206758785066
S29,0.0790114678450422
S3,0.06425143135845479
S30,0.13523845323321382
S31,0.11663578282099785
S32,0.09172333632854301
S33,0.02623896181151686
S34,0.05709840515999076
S35,0.054840992133491806
S36,0.036636778238014034
S37,0.02521521492833889
S38,0.03587086297900344
S39,0.036347109744746975
S4,0.06456203327370957
S40,0.03591483432878473
S41,0.0308600163692323
S42,0.01730283828653012
S43,0.02505239871636844
S44,0.03161024144795577
S45,0.027876853593150397
S46,0.009607926725892946
S47,0.016623545486882607
S48,0.011392890815882684
S49,0.01288337857150057
S5,0.09429317466730813
S50,0.025319331810620627
S51,0.24996279024267842
S52,0.1593356249758191
S53,0.1602959175101235
S54,0.09456578218709133
S55,0.1448685526251099
S56,0.1200509977246973
S57,0.06292590669817866
S58,0.032655330304038444
S59,0.07506650182740504
S6,0.03165884200340052
S60,0.05903654174110606
S61,0.05364027859826703
S62,0.020414237686440018
S63,0.04051477332281417
S64,0.026971367473280994
S65,0.0369154255899391
S66,0.026057066046941246
S67,0.02789524623066253
S68,0.021386061115704624
S69,0.021928396022951824
S7,0.03087373823446149
S70,0.027315990305090576
S71,0.0094764589014944
S72,0.014753452733445915
S73,0.01642216193550361
S74,0.01583678056869786
S75,0.02679319554888382
S76,0.3379260126481123
S77,0.17008329524366372
S78,0.1604891983172898
S79,0.054107655680416755
S8,0.04010494069091153
S80,0.13841990923821257
S81,0.12219595457510701
S82,0.1026169903317411
S83,0.03925881977603263
S84,0.07418033697784843
S85,0.07826983644303986
S86,0.039510978177436096
S87,0.021258763503495093
S88,0.032276803196559456
S89,0.03347600236158943
S9,0.06055993574049423
S90,0.03573622611067373
S91,0.019933310132766557
S92,0.025250521842810958
S93,0.026932692115248846
S94,0.026674369551927368
S95,0.025038873574304787
S96,0.01626458376317269
S97,0.01120027170414789
S98,0.0149669077047212
S99,0.0182605531302249
