Scenario,CI_width
S1,171.3381821704652
S10,342.7945081216359
S100,318.2455460513818
S101,134.56018095060267
S102,204.48817813404844
S103,204.72449038555374
S104,309.9671720192721
S105,260.73430135752176
S106,208.4271097205218
S107,216.4430088233314
S108,328.99498351636146
S109,204.78979833817652
S11,165.44291836665093
S110,322.38384044868417
S111,257.67947558369383
S112,291.7178556851196
S113,217.46271113463285
S114,333.48491056599823
S115,293.79076059699264
S116,310.87571563947574
S117,197.4837583736978
S118,291.5273791764022
S119,263.60150324108463
S12,145.42150332463575
S120,289.3695188448314
S121,291.4208332235461
S122,276.92004674076713
S123,265.7634760630749
S124,298.4802703070054
S125,320.2053109982967
S13,244.9623137443973
S14,322.4212993953354
S15,311.62078995518414
S16,271.4973929469877
S17,157.38461757556252
S18,343.0085858768307
S19,348.257682599266
S2,236.30820853533874
S20,368.62292123062423
S21,175.57825670547572
S22,304.7735504576351
S23,269.53744290448935
S24,425.40144239435847
S25,342.8211875604293
S26,148.82953822433865
S27,158.42040770152266
S28,136.65294550314502
S29,267.4737030667711
S3,180.4390772428933
S30,227.2778963983601
S31,196.77957712065427
S32,213.40219168076396
S33,297.7613142730238
S34,276.7595997751796
S35,225.79816459063454
S36,291.63522592407026
S37,215.6653690799253
S38,239.8069137004611
S39,242.0248092985771
S4,164.18332090699846
S40,335.21047525434324
S41,182.39032844694452
S42,324.3741575434451
S43,290.920613795299
S44,304.54712200416986
S45,295.42566348913385
S46,300.219647585699
S47,298.4075336965607
S48,230.74984699135643
S49,274.8356923209392
S5,286.1274953433574
S50,330.79126931720873
S51,171.39583060989617
S52,197.43436450980244
S53,179.57913074528733
S54,218.0865546647201
S55,249.42874205635258
S56,182.62632744776943
S57,289.6513831256318
S58,306.6802704613742
S59,194.60320297763496
S6,133.07617415627328
S60,310.9975155162656
S61,247.0218953936161
S62,343.9118471919072
S63,247.47115004656644
S64,267.96228101116014
S65,325.6654237182306
S66,238.69970657101123
S67,225.8866913605782
S68,289.1216005935686
S69,292.7346854445906
S7,139.39263694267584
S70,275.77940989432386
S71,363.2406610806098
S72,280.369119855181
S73,251.97732643636073
S74,318.9185845548419
S75,309.9564813490765
S76,129.35611616982374
S77,179.4815899416751
S78,177.48307647686215
S79,273.37994749366794
S8,248.98279899437944
S80,283.56325202104654
S81,157.90069549960958
S82,189.15152559193234
S83,306.0016589844488
S84,200.27981935636808
S85,337.7507948043225
S86,266.32912941244865
S87,351.4021448525667
S88,321.28284707892044
S89,285.98591715222744
S9,242.8356983494893
S90,284.0148641613514
S91,294.26214507487634
S92,265.39318152884584
S93,280.71650933654655
S94,275.1235047160101
S95,310.0416117314028
S96,280.07908282212634
S97,318.00931659186995
S98,205.20512983013055
S99,300.9967193374084
