Scenario,CI_width
S1,0.3688069512133252
S10,2.110968443978365
S100,3.0372349982890476
S101,3.081469648468179
S102,3.674762980698979
S103,3.265549808316397
S104,3.4838768584492854
S105,3.5049690681536774
S106,3.457753508008505
S107,3.0781098469487453
S108,3.467958399332936
S109,3.4327532586351595
S11,0.4780280524309468
S110,3.162244489510492
S111,3.790381145364588
S112,3.5606712411336616
S113,2.9950105072605346
S114,3.278046710392232
S115,2.7639456564280103
S116,4.10856211198206
S117,4.041058065380156
S118,2.928861822885434
S119,2.4604354894131433
S12,1.2846354380088076
S120,2.601629187182663
S121,3.209981008209514
S122,3.35869421375639
S123,2.5253266163275967
S124,2.976992198964137
S125,3.051214630837393
S13,0.6512851116987903
S14,1.5979056852178708
S15,3.562218789356411
S16,0.9447964721948452
S17,1.1381574337121858
S18,1.7641744373095278
S19,2.86921758645785
S2,0.5388690161384568
S20,3.6892964408733917
S21,0.7036952055299217
S22,1.4932951007354394
S23,2.416114289836674
S24,4.534644538168315
S25,3.3488244447846647
S26,2.1905357718672924
S27,2.6430020389700317
S28,2.060146385930601
S29,1.8533040395352849
S3,0.4266575057754345
S30,2.1045155830403814
S31,2.2384073932612942
S32,2.3462231430380385
S33,2.2403768803379727
S34,2.1339711946533093
S35,2.275488830106106
S36,2.418707336157876
S37,2.3458502240797188
S38,2.179848124971734
S39,2.6578437640217523
S4,0.27909631519469613
S40,2.530795946273855
S41,1.859152874746691
S42,2.010481742801911
S43,2.7783946848828727
S44,2.5664478903739507
S45,2.7581839021089785
S46,2.7470052297138814
S47,2.343504164228616
S48,2.634753674625351
S49,2.8674056425460677
S5,1.344547710068504
S50,2.875983190198614
S51,2.8059598178253893
S52,2.9489726302416486
S53,2.754732597673513
S54,2.8752354686027815
S55,2.647202631912318
S56,3.199112069096131
S57,2.83715835623439
S58,3.2762794130552138
S59,2.5545948012228052
S6,0.38336890114410327
S60,2.364023807363157
S61,2.938143545556496
S62,3.8068385130413134
S63,2.398419777594807
S64,3.1429717209504453
S65,2.811580141675904
S66,2.837751515694535
S67,2.946888196746116
S68,2.7409874527742595
S69,2.5784722415573356
S7,0.43075025992533966
S70,3.0511521135962596
S71,3.686627887475545
S72,2.262034786128293
S73,2.365792634611026
S74,3.3723541806108273
S75,3.0967062679206805
S76,2.9977180171803752
S77,3.2167847405012324
S78,3.0704318476845636
S79,3.1703837338659646
S8,0.8352331107923021
S80,2.9392889362135435
S81,3.5113886673863597
S82,2.9525509230177462
S83,3.3732660838308313
S84,2.626450658972928
S85,3.135354340963488
S86,3.3628341928063037
S87,3.728539685616642
S88,3.1847451653980947
S89,2.5304660280412286
S9,1.0218170066405357
S90,2.9670173493811625
S91,3.6373843644747197
S92,3.2940618863658386
S93,2.8419321809315683
S94,2.8377256584576536
S95,2.7375354652041004
S96,3.141221217218771
S97,2.8681971108974977
S98,1.948581118411301
S99,2.705032763779684
