Scenario,CI_width
S1,1.2131832407732996e-05
S10,1.1817141799479628e-06
S100,2.1624378886683082e-07
S101,2.915100539628718e-05
S102,2.9547235359534224e-05
S103,2.7376342270909108e-05
S104,2.5343248314191828e-05
S105,2.623852679244513e-05
S106,4.819030313253246e-06
S107,5.3418022216358885e-06
S108,5.012715417731262e-06
S109,5.34423003112176e-06
S11,2.42332043265302e-07
S110,6.70153509763221e-06
S111,7.232708276853984e-07
S112,1.0007247845910682e-06
S113,9.806725706894035e-07
S114,1.139947313006904e-06
S115,1.4844777475418324e-06
S116,2.5173330246572365e-07
S117,3.035598120370133e-07
S118,4.3305935983689036e-07
S119,4.5189052107925146e-07
S12,3.0073018922479436e-07
S120,5.951921063268126e-07
S121,1.1692385392500267e-07
S122,1.2484193252698527e-07
S123,1.2103986176658795e-07
S124,1.4047851750811872e-07
S125,2.1582083566004068e-07
S13,1.8442047668707293e-07
S14,1.9157870385457782e-07
S15,4.826611302714968e-07
S16,6.163514578220537e-08
S17,7.184413109468112e-08
S18,5.499715099042328e-08
S19,1.2398829185776822e-07
S2,1.161669606693362e-05
S20,4.2303169376110113e-07
S21,4.3648744207747265e-08
S22,3.058269313131102e-08
S23,2.0031392076719025e-08
S24,7.283382884268202e-08
S25,1.5502955881342466e-07
S26,2.5843053577594865e-05
S27,2.104703974456348e-05
S28,1.712207201534886e-05
S29,1.9776582684070476e-05
S3,5.775298720342236e-06
S30,2.0841459192360784e-05
S31,3.504718033619078e-06
S32,3.5530243193495852e-06
S33,4.699229092156778e-06
S34,3.768812813432976e-06
S35,4.061044345298267e-06
S36,9.500732976472823e-07
S37,9.175188591606851e-07
S38,8.182268953428229e-07
S39,5.898343399112465e-07
S4,4.780966392867265e-06
S40,7.308362961737131e-07
S41,3.6930839754882936e-07
S42,2.6214076670892196e-07
S43,1.9609555311081645e-07
S44,2.453387987575193e-07
S45,2.8296431935205605e-07
S46,6.160448430974167e-08
S47,6.792122637004449e-08
S48,6.790033728991637e-08
S49,7.391100676674635e-08
S5,4.892946880218679e-06
S50,9.803034775333694e-08
S51,2.815555797475468e-05
S52,2.583417073286594e-05
S53,2.3544912872134496e-05
S54,2.737972428698407e-05
S55,2.4223097130728307e-05
S56,4.582380527137689e-06
S57,5.4097891883276015e-06
S58,5.363464872724038e-06
S59,4.914561278505079e-06
S6,1.3313779106712128e-06
S60,5.096473865539596e-06
S61,1.1746561573122808e-06
S62,9.641063850582178e-07
S63,9.899033011085283e-07
S64,8.146394015159484e-07
S65,1.2689330299507827e-06
S66,3.6046752553373835e-07
S67,4.048014835668983e-07
S68,3.245045349920871e-07
S69,3.44245317140167e-07
S7,1.2996540923169211e-06
S70,4.23113285381203e-07
S71,1.0816201839057425e-07
S72,1.1874454723228433e-07
S73,8.939805676092155e-08
S74,1.0636207513377098e-07
S75,1.4167677742733087e-07
S76,2.9220696067520298e-05
S77,2.9321515336273898e-05
S78,2.7047253354625867e-05
S79,2.527558423798409e-05
S8,6.850007450996719e-07
S80,2.6473805414411375e-05
S81,4.799884549628572e-06
S82,4.937971955877348e-06
S83,5.00677810222817e-06
S84,5.196604755083441e-06
S85,6.719743559049823e-06
S86,7.376856720064216e-07
S87,7.940253427230834e-07
S88,8.819801848075268e-07
S89,1.1424675421823961e-06
S9,9.74507525291258e-07
S90,1.4879715313829836e-06
S91,2.284941881631251e-07
S92,3.526616263806807e-07
S93,4.2766053074004964e-07
S94,4.5874637689020837e-07
S95,6.114395223381451e-07
S96,1.0270760986458798e-07
S97,1.1361964178197134e-07
S98,1.3299830392028597e-07
S99,1.399248671723651e-07
