Scenario,Replication,seed,order_size_mean,limit_price_decay_rate,mm_base_spread,sim_duration,avg_spread,median_exec_time,mean_exec_time,p99_exec_time,resting_exec_count,market_exec_count,total_executions,trade_count,trades_per_hour,execs_per_hour,mm_final_pnl,mm_final_pnl_per_hour,mm_final_pnl_per_1k_trades,mm_final_inventory,avg_mm_inventory,rest_exec_skew,rest_exec_kurtosis,price_volatility,depth_within_5_ticks,mm_depth_within_5_ticks,mm_depth_fraction,mm_realized_spread,runtime_sec,bid_level_1,bid_level_2,bid_level_3,bid_level_4,bid_level_5,ask_level_1,ask_level_2,ask_level_3,ask_level_4,ask_level_5,Replications,sim_duration_Mean,sim_duration_CI_95,avg_spread_Mean,avg_spread_CI_95,median_exec_time_Mean,median_exec_time_CI_95,mean_exec_time_Mean,mean_exec_time_CI_95,p99_exec_time_Mean,p99_exec_time_CI_95,resting_exec_count_Mean,resting_exec_count_CI_95,market_exec_count_Mean,market_exec_count_CI_95,total_executions_Mean,total_executions_CI_95,trade_count_Mean,trade_count_CI_95,trades_per_hour_Mean,trades_per_hour_CI_95,execs_per_hour_Mean,execs_per_hour_CI_95,mm_final_pnl_Mean,mm_final_pnl_CI_95,mm_final_pnl_per_hour_Mean,mm_final_pnl_per_hour_CI_95,mm_final_pnl_per_1k_trades_Mean,mm_final_pnl_per_1k_trades_CI_95,mm_final_inventory_Mean,mm_final_inventory_CI_95,avg_mm_inventory_Mean,avg_mm_inventory_CI_95,rest_exec_skew_Mean,rest_exec_skew_CI_95,rest_exec_kurtosis_Mean,rest_exec_kurtosis_CI_95,price_volatility_Mean,price_volatility_CI_95,depth_within_5_ticks_Mean,depth_within_5_ticks_CI_95,mm_depth_within_5_ticks_Mean,mm_depth_within_5_ticks_CI_95,mm_depth_fraction_Mean,mm_depth_fraction_CI_95,mm_realized_spread_Mean,mm_realized_spread_CI_95,runtime_sec_Mean,runtime_sec_CI_95,bid_level_1_Mean,bid_level_1_CI_95,bid_level_2_Mean,bid_level_2_CI_95,bid_level_3_Mean,bid_level_3_CI_95,bid_level_4_Mean,bid_level_4_CI_95,bid_level_5_Mean,bid_level_5_CI_95,ask_level_1_Mean,ask_level_1_CI_95,ask_level_2_Mean,ask_level_2_CI_95,ask_level_3_Mean,ask_level_3_CI_95,ask_level_4_Mean,ask_level_4_CI_95,ask_level_5_Mean,ask_level_5_CI_95
S1,5.0,1000005.0,1.0,0.05,0.1,23400.0,3.0355767420592397,8.114681715327606,715.1348159568137,13337.264246296507,9712.0,10.0,9722.0,9436.0,1451.6923076923078,1495.6923076923078,234.60671874997888,36.0933413461506,24.86294179207067,15.0,8.410935497650577,0.0,0.0,3.230960670972872e-05,0.0,0.0,0.0,0.12312916555585757,0.4183201789855957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,5.0,1000005.0,1.0,0.05,0.25,23400.0,3.110945054128004,8.659825417199954,813.1493372415366,14114.269222947854,9730.0,10.0,9740.0,9445.0,1453.076923076923,1498.4615384615386,684.4928125000033,105.30658653846206,72.47144653255725,13.0,11.018368218709954,0.0,0.0,3.237366784581919e-05,0.0,0.0,0.0,-0.044427664342629486,0.5065107345581055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,5.0,1000005.0,1.0,0.05,0.5,23400.0,3.077993650368784,8.804376961316848,734.0187444224193,13867.530113127237,9416.0,10.0,9426.0,9288.0,1428.923076923077,1450.1538461538462,1630.9618750000018,250.91721153846183,175.59882375107685,11.0,6.087996582656984,0.0,0.0,2.357554343896788e-05,0.0,0.0,0.0,-0.2660674771320957,0.6277353763580322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,5.0,1000005.0,1.0,0.05,1.0,23400.0,3.4071190741732096,9.33122518658638,558.2004816428637,11835.798746321983,9312.0,10.0,9322.0,9236.0,1420.923076923077,1434.1538461538462,3370.292187500002,518.5064903846157,364.9082056626247,5.0,1.996155489107219,0.0,0.0,1.9053210017029496e-05,0.0,0.0,0.0,-0.7738272604588393,0.4667496681213379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,5.0,1000005.0,1.0,0.05,2.0,23400.0,4.043367932875328,11.771771896259452,372.397675072249,7330.385356614511,9227.0,11.0,9238.0,9194.0,1414.4615384615386,1421.2307692307693,6420.685000000007,987.7976923076934,698.3559930389391,4.0,-0.5608714224690303,0.0,0.0,2.0132438371290412e-05,0.0,0.0,0.0,-1.6347584315708705,0.41472339630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S6,5.0,1000005.0,1.0,0.1,0.1,23400.0,1.5406280335474623,8.255946222105194,636.7290608962495,12567.08244357768,9696.0,10.0,9706.0,9428.0,1450.4615384615386,1493.2307692307693,295.8756249999815,45.519326923074075,31.382650084851665,6.0,3.694574967962409,0.0,0.0,7.5306633802074e-06,0.0,0.0,0.0,0.009282265583383579,0.6612119674682617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S7,5.0,1000005.0,1.0,0.1,0.25,23400.0,1.566399580656674,8.96625107739419,748.1791046427295,13195.65581387342,9508.0,10.0,9518.0,9334.0,1436.0,1464.3076923076924,782.3909375000022,120.36783653846189,83.82161318834393,8.0,3.5899188381033746,0.0,0.0,6.246342942199242e-06,0.0,0.0,0.0,-0.13822642837982846,0.5716686248779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S8,5.0,1000005.0,1.0,0.1,0.5,23400.0,1.6596687252780753,10.216376560891149,690.942394042645,11430.391982540863,9336.0,10.0,9346.0,9248.0,1422.769230769231,1437.846153846154,1573.5319921875025,242.08184495192347,170.1483555566071,4.0,3.472874839812046,0.0,0.0,4.980521525361662e-06,0.0,0.0,0.0,-0.37160195674781793,0.5179011821746826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S9,5.0,1000005.0,1.0,0.1,1.0,23400.0,2.007433897662384,12.284036875711536,383.7106499794262,6872.3701430629735,9221.0,11.0,9232.0,9191.0,1414.0,1420.3076923076924,3124.420624999994,480.6800961538452,339.9434909150249,2.0,0.2656984194788552,0.0,0.0,5.10903442193774e-06,0.0,0.0,0.0,-0.8113493269027856,0.4015383720397949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,5.0,1000005.0,1.0,0.1,2.0,23400.0,2.4763974950927907,19.58247724455032,523.7652830865945,9690.32343122045,9149.0,11.0,9160.0,9155.0,1408.4615384615386,1409.2307692307693,4624.162412109383,711.409601862982,505.0969319617021,1.0,0.2866296454506621,0.0,0.0,9.129670885012432e-06,0.0,0.0,0.0,-1.3358503254994245,0.40256452560424805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
