Scenario,n_rep,avg_spread_mean,avg_spread_CI95_lower,avg_spread_CI95_upper,median_exec_time_mean,median_exec_time_CI95_lower,median_exec_time_CI95_upper,mm_final_pnl_per_1k_trades_mean,mm_final_pnl_per_1k_trades_CI95_lower,mm_final_pnl_per_1k_trades_CI95_upper
S1,5,2.98082289345786,2.9367764651288835,3.0248693217868365,7.935406521078494,7.7510030454718315,8.119809996685156,39.778184613329685,32.43873889889614,47.11763032776323
S2,5,3.043343420634936,3.0062174461822844,3.0804693950875874,8.18826302562104,7.9188285175518125,8.457697533690268,93.78278209642464,81.69579474755366,105.86976944529562
S3,5,3.1179613865605886,3.095282601154961,3.1406401719662163,8.486265614024614,8.272936861136897,8.699594366912331,191.27499388826627,180.27168142564386,202.27830635088867
S4,5,3.4040018214616268,3.3812134031025582,3.4267902398206953,9.304545884652816,9.164997727055468,9.444094042250164,374.29106311154254,360.82218798784936,387.7599382352357
S5,5,3.997318700826978,3.9640361010734426,4.030601300580513,12.60668033593556,11.934406480901307,13.278954190969811,689.170324423234,676.4989004747215,701.8417483717465
S6,5,1.5349429997216426,1.5237683991126665,1.5461176003306187,8.038517260015988,7.846832809443936,8.23020171058804,38.13058897152598,33.93629705831973,42.32488088473223
S7,5,1.569698647733516,1.5588011646847322,1.5805961307822998,8.630070144611546,8.414695014648876,8.845445274574216,93.17053268019096,88.18747830306478,98.15358705731714
S8,5,1.6852513791240902,1.6710955646246375,1.6994071936235429,9.70298270684654,9.28536615145039,10.120599262242692,180.66272662734127,175.13286530594903,186.19258794873352
S9,5,1.991807631967372,1.9704318313385114,2.013183432596233,12.75166135774745,12.240752854427182,13.262569861067718,336.0899754088143,327.91217478113583,344.2677760364928
S10,5,2.467972118858005,2.4533073803371486,2.482636857378861,21.079962575873505,20.024478353884323,22.135446797862688,506.85015675109946,500.29254414969955,513.4077693524994
S11,5,0.7981140236614047,0.789579287615252,0.8066487597075575,8.58499016882106,8.345976142605586,8.824004195036533,34.63321257947284,32.7049685568805,36.56145660206518
S12,5,0.8489854604194637,0.842245875868985,0.8557250449699423,9.988663160266704,9.346345441262299,10.630980879271108,86.91369759519038,85.31315635706672,88.51423883331405
