Scenario,Replication,seed,order_size_mean,limit_price_decay_rate,mm_base_spread,sim_duration,avg_spread,median_exec_time,mean_exec_time,p99_exec_time,resting_exec_count,market_exec_count,total_executions,trade_count,trades_per_hour,execs_per_hour,mm_final_pnl,mm_final_pnl_per_hour,mm_final_pnl_per_1k_trades,mm_final_inventory,avg_mm_inventory,rest_exec_skew,rest_exec_kurtosis,price_volatility,depth_within_5_ticks,mm_depth_within_5_ticks,mm_depth_fraction,mm_realized_spread,runtime_sec,bid_level_1,bid_level_2,bid_level_3,bid_level_4,bid_level_5,ask_level_1,ask_level_2,ask_level_3,ask_level_4,ask_level_5,Replications,sim_duration_Mean,sim_duration_CI_95,avg_spread_Mean,avg_spread_CI_95,median_exec_time_Mean,median_exec_time_CI_95,mean_exec_time_Mean,mean_exec_time_CI_95,p99_exec_time_Mean,p99_exec_time_CI_95,resting_exec_count_Mean,resting_exec_count_CI_95,market_exec_count_Mean,market_exec_count_CI_95,total_executions_Mean,total_executions_CI_95,trade_count_Mean,trade_count_CI_95,trades_per_hour_Mean,trades_per_hour_CI_95,execs_per_hour_Mean,execs_per_hour_CI_95,mm_final_pnl_Mean,mm_final_pnl_CI_95,mm_final_pnl_per_hour_Mean,mm_final_pnl_per_hour_CI_95,mm_final_pnl_per_1k_trades_Mean,mm_final_pnl_per_1k_trades_CI_95,mm_final_inventory_Mean,mm_final_inventory_CI_95,avg_mm_inventory_Mean,avg_mm_inventory_CI_95,rest_exec_skew_Mean,rest_exec_skew_CI_95,rest_exec_kurtosis_Mean,rest_exec_kurtosis_CI_95,price_volatility_Mean,price_volatility_CI_95,depth_within_5_ticks_Mean,depth_within_5_ticks_CI_95,mm_depth_within_5_ticks_Mean,mm_depth_within_5_ticks_CI_95,mm_depth_fraction_Mean,mm_depth_fraction_CI_95,mm_realized_spread_Mean,mm_realized_spread_CI_95,runtime_sec_Mean,runtime_sec_CI_95,bid_level_1_Mean,bid_level_1_CI_95,bid_level_2_Mean,bid_level_2_CI_95,bid_level_3_Mean,bid_level_3_CI_95,bid_level_4_Mean,bid_level_4_CI_95,bid_level_5_Mean,bid_level_5_CI_95,ask_level_1_Mean,ask_level_1_CI_95,ask_level_2_Mean,ask_level_2_CI_95,ask_level_3_Mean,ask_level_3_CI_95,ask_level_4_Mean,ask_level_4_CI_95,ask_level_5_Mean,ask_level_5_CI_95
S1,1.0,1000001.0,1.0,0.05,0.1,23400.0,2.9791333621184193,8.09230453750206,588.9360859367358,9822.292214393798,9755.0,1.0,9756.0,9524.0,1465.2307692307693,1500.923076923077,425.5434374999795,65.468221153843,44.681167314151566,9.0,-0.3062793677915421,0.0,0.0,2.5134646776414388e-05,0.0,0.0,0.0,0.13770314978192508,0.3399209976196289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,1.0,1000001.0,1.0,0.05,0.25,23400.0,3.025128927820142,8.31035567374056,571.8996696198167,8988.910118096852,9675.0,1.0,9676.0,9484.0,1459.076923076923,1488.6153846153848,1030.9437500000022,158.60673076923112,108.7034742724591,5.0,-4.347714651858181,0.0,0.0,2.323293024658593e-05,0.0,0.0,0.0,-0.012330229558084133,0.32927656173706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,1.0,1000001.0,1.0,0.05,0.5,23400.0,3.1490338817440775,8.629933558117045,537.0919580332691,8617.702569210049,9547.0,1.0,9548.0,9420.0,1449.2307692307693,1468.923076923077,1973.4231250000007,303.60355769230785,209.49290074309988,7.0,-2.8269970098248614,0.0,0.0,2.0984000827211263e-05,0.0,0.0,0.0,-0.2880971854304636,0.36920976638793945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,1.0,1000001.0,1.0,0.05,1.0,23400.0,3.4467162941786387,9.428517637548794,580.6413633726364,9755.030592547742,9475.0,1.0,9476.0,9384.0,1443.6923076923078,1457.846153846154,3762.214062500001,578.8021634615386,400.91795209931814,10.0,-2.746689448953439,0.0,0.0,1.838251531492536e-05,0.0,0.0,0.0,-0.7986820038522848,0.36826491355895996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,1.0,1000001.0,1.0,0.05,2.0,23400.0,4.013065685085919,13.78570076152755,652.6776510316555,9586.607424998258,9379.0,1.0,9380.0,9336.0,1436.3076923076924,1443.076923076923,6621.8687622070265,1018.7490403395426,709.2832864403414,-4.0,-2.7983767620674924,0.0,0.0,1.8445283160367516e-05,0.0,0.0,0.0,-1.6471163718727964,0.3885037899017334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S6,1.0,1000001.0,1.0,0.1,0.1,23400.0,1.523150794528239,8.298259389361192,641.8322678500026,11178.474835250723,9761.0,1.0,9762.0,9527.0,1465.6923076923078,1501.846153846154,388.83374999998125,59.82057692307404,40.81387110317847,10.0,1.2199914566424606,0.0,0.0,6.851925722190406e-06,0.0,0.0,0.0,0.009982373484455225,0.37126588821411133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S7,1.0,1000001.0,1.0,0.1,0.25,23400.0,1.5766084191905911,8.785870824380254,578.3731250693236,10073.996064889445,9575.0,1.0,9576.0,9434.0,1451.3846153846155,1473.2307692307693,926.2315625000001,142.4971634615385,98.1801529043884,5.0,-0.4839812046134131,0.0,0.0,5.734120017589351e-06,0.0,0.0,0.0,-0.14519675618186653,0.41210436820983887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S8,1.0,1000001.0,1.0,0.1,0.5,23400.0,1.6849306200117877,10.149764085101197,625.5825773230166,9447.355772276049,9463.0,1.0,9464.0,9378.0,1442.769230769231,1456.0,1732.6891162109387,266.56755634014445,184.7610488601982,6.0,-1.304997864160615,0.0,0.0,4.792046927004362e-06,0.0,0.0,0.0,-0.38788862096852267,0.3582906723022461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S9,1.0,1000001.0,1.0,0.1,1.0,23400.0,2.012322096168657,13.755649924507452,677.1453848928642,9915.681041273476,9393.0,1.0,9394.0,9343.0,1437.3846153846155,1445.2307692307693,3242.885841674804,498.905514103816,347.09256573635923,-1.0,-0.3289192652712516,0.0,0.0,5.05355841815961e-06,0.0,0.0,0.0,-0.8209490663400792,0.4133424758911133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,1.0,1000001.0,1.0,0.1,2.0,23400.0,2.4907030722418604,21.44854120164746,770.0217143032136,10146.852718997452,9307.0,1.0,9308.0,9300.0,1430.769230769231,1432.0,4817.494052734377,741.1529311899042,518.0101131972449,-2.0,-1.1243058521999145,0.0,0.0,8.644567009705383e-06,0.0,0.0,0.0,-1.3265330421531591,0.3881344795227051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
